Nome,Espiral,Estrela,Equip,Tipo,Desc,Qty
Submarino,,,,Humano,Revele as seis cartas do topo do deck. Coloque todos os animais do mar revelados assim na sua mão e embaralhe o restante no deck.,1
Contrabando,,,,Humano,Ganhe o controle de qualquer animal. Seu controlador olha sua mão e escolhe qualquer carta lá para colocar na própria mão.,1
Pescador,,,,Humano,Destrua um animal do mar.,3
Tsunami,,,,Natural,Embaralhe sua mão e todos os animais do mar no deck.,1
Veganismo,,star.png,,Humano,Use somente em resposta a um Caçador ou Pescador. Anule o efeito daquela carta. Seu controlador recebe uma ação neste turno.,3
Queimada,,,,Natural,Embaralhe todos os animais da terra de valor 3 ou maior.,1
Correnteza,,,,Natural,Coloque todos os animais do mar de valor 2 ou menor no fundo do deck em ordem aleatória.,1
Frustrar,cycle.png,,,Humano,Destrua qualquer carta setada.,2
Desmatamento,,,,Humano,Devolva cada animal da terra para a mão de quem o controla.,1
Lagoa,,,,Natural,"Compre três cartas. Se você controlar dois ou mais animais da terra, devolva esta carta para sua mão.",1
Tempestade,,,,Natural,Devolva cada animal de valor 1 para a mão de quem o controla.,1
Avareza,cycle.png,,,Humano,Ganhe o controle de um animal de outro jogador. Coloque esta carta na mão daquele jogador.,1
Apresar,,,,Natural,Escolha um animal que você controla; coloque um animal do mesmo ambiente e de valor menor no fundo do deck.,3
Troca,,,,Humano,Troque o controle entre dois animais.,1
Peste,cycle.png,,,Natural,"Se você controlar pelo menos um animal da terra, coloque todos os animais da terra no fundo do deck em ordem aleatória. Faça o mesmo para animais do mar.",1
Martirizar,,,ring.png,Humano,"Anexe esta carta a um animal. Quando o animal sair de jogo, destrua esta carta e compre cinco cartas.",1
Arqueólogo,,,,Humano,Coloque na sua mão uma carta de impacto do descarte.,1
Caçador,,,,Humano,Destrua um animal da terra.,3
Seleção,,,,Humano,Escolha um valor. Coloque todos os animais do valor escolhido no fundo do deck em ordem aleatória.,1
Inundação,,,,Natural,Cada jogador escolhe um animal da terra que controla e devolve todos os outros animais da terra pra mão.,0
Renovação,cycle.png,,,Natural,Embaralhe todos os animais. Cada jogador compra uma carta para cada animal que controlava embaralhado dessa maneira.,1

